Age,Generation,Gender,Income_kUSD,Occupation,Drinks_Per_Week,Social_Setting,Taste_Preference,Alcohol_Tolerance,Price_Sensitivity,Preferred_Drink,Support_Local_Store,Purchase_Frequency,Monthly_Spend_USD,Purchase_Channel,Drinking_Occasion,Brand_Loyalty,Access_Problems,Health_Score
59.0,Baby Boomer,Male,66.87,Other,3.0,Social Event,Bitter,1.71,Low,Beer,Yes,Weekly,144.88,Offline,Celebration,High,No Problems,4.0
49.0,Gen X,Female,61.19,Other,2.0,Bar,Bitter,1.86,Low,Other,No,Monthly,1190.71,Offline,Celebration,High,Location,3.5
35.0,Millennial,Female,54.73,Student,1.0,Restaurant,Sour,1.79,High,Wine,No,Monthly,138.45,Offline,Social,Low,Expensive,5.0
63.0,Baby Boomer,Female,77.39,Retired,2.0,Restaurant,Bitter,2.22,Low,Wine,No,Monthly,210.4,Offline,Social,High,No Problems,4.3
28.0,Millennial,Female,26.89,Other,2.0,Home,Sour,1.47,Medium,Other,Yes,Monthly,277.52,Online,Stress Relief,Medium,Limited Variety,3.7
41.0,Gen X,Male,51.31,Other,2.0,Bar,Sour,0.77,Medium,Cider,Yes,Monthly,1075.57,Online,Celebration,Medium,Expensive,4.6
59.0,Baby Boomer,Male,35.22,Retired,4.0,Bar,Bitter,1.08,Medium,Beer,Yes,Weekly,649.76,Offline,Celebration,Medium,Location,3.0
39.0,Millennial,Male,67.8,Student,1.0,Other,Bitter,1.82,,Spirits,No,Monthly,455.49,Online,Celebration,High,No Problems,4.4
43.0,Gen X,Male,13.33,Retired,0.0,Restaurant,,,Low,Beer,No,Rarely,74.46,Both,Social,High,Limited Variety,4.7
31.0,Millennial,Female,49.44,Student,,Restaurant,Salty,1.56,High,Wine,No,Monthly,468.87,Online,Social,Low,Expensive,3.1
31.0,Millennial,Male,56.7,Professional,,Bar,Sour,1.87,Medium,Beer,Yes,Monthly,512.9,Offline,Celebration,Medium,Location,5.0
44.0,Gen X,Male,31.05,Student,,Home,Salty,1.77,High,Cocktails,No,Monthly,221.19,Both,Stress Relief,Low,Location,3.2
56.0,,,37.48,,,Bar,Sour,2.26,Medium,Cocktails,No,Monthly,244.39,Online,Celebration,Medium,No Problems,3.6
,,,,Professional,0.0,Home,Sweet,1.67,High,Spirits,Yes,Rarely,200.17,Offline,Stress Relief,Low,Location,5.0
44.0,Gen X,Female,69.1,,2.0,Restaurant,Sour,2.06,Medium,Cider,Yes,Monthly,293.37,Online,Social,Medium,Expensive,3.7
23.0,Gen Z,Other,29.34,,,Other,Sour,1.0,High,Beer,Yes,Monthly,157.82,Offline,Social,Low,No Problems,4.1
42.0,Gen X,Male,32.83,Student,,Social Event,Salty,1.86,Medium,Cocktails,Yes,Monthly,87.16,Offline,Celebration,Medium,Expensive,3.4
